skeleton,n_ch,n_sh,top_section_ch,top_section_sh,semantic_guardrail
dal#al,1,1,herbal(1),balneological(1),rota55_minpair_not_decipherment
y#eockhy,1,1,herbal(1),herbal(1),rota55_minpair_not_decipherment
o#ar,1,1,cosmological(1),herbal(1),rota55_minpair_not_decipherment
#ddy,1,1,recipes(1),herbal(1),rota55_minpair_not_decipherment
#ekair,1,1,balneological(1),herbal(1),rota55_minpair_not_decipherment
yke#o,1,1,astronomical(1),herbal(1),rota55_minpair_not_decipherment
#ckheody,1,1,pharmaceutical(1),herbal(1),rota55_minpair_not_decipherment
oteo#ey,1,1,herbal(1),astronomical(1),rota55_minpair_not_decipherment
ot#eo,1,1,herbal(1),astronomical(1),rota55_minpair_not_decipherment
#ekeod,1,1,pharmaceutical(1),herbal(1),rota55_minpair_not_decipherment
d#eeo,1,1,astronomical(1),recipes(1),rota55_minpair_not_decipherment
o#eal,1,1,astronomical(1),pharmaceutical(1),rota55_minpair_not_decipherment
#oekey,1,1,astronomical(1),astronomical(1),rota55_minpair_not_decipherment
d#edal,1,1,astronomical(1),recipes(1),rota55_minpair_not_decipherment
otal#y,1,1,astronomical(1),astronomical(1),rota55_minpair_not_decipherment
okal#ey,1,1,recipes(1),astronomical(1),rota55_minpair_not_decipherment
al#dy,1,1,balneological(1),astronomical(1),rota55_minpair_not_decipherment
#aldy,1,1,pharmaceutical(1),astronomical(1),rota55_minpair_not_decipherment
lol#edy,1,1,balneological(1),recipes(1),rota55_minpair_not_decipherment
qol#dy,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
ol#ees,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
qol#eol,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
dar#ey,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
#eeoldy,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
qolk#ey,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
sol#eol,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
op#edal,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
r#ed,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
#ekaiiin,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
#ealol,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
qokal#edy,1,1,balneological(1),recipes(1),rota55_minpair_not_decipherment
l#ckhy,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
#eds,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
sal#ey,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
p#eedy,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
pol#ey,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
qoke#ey,1,1,balneological(1),recipes(1),rota55_minpair_not_decipherment
l#eckhedy,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
#eykain,1,1,balneological(1),recipes(1),rota55_minpair_not_decipherment
o#eedy,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
yke#ey,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
r#dy,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
#ecthedy,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
l#eg,1,1,recipes(1),balneological(1),rota55_minpair_not_decipherment
#eolkain,1,1,balneological(1),balneological(1),rota55_minpair_not_decipherment
#daldy,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
#etam,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
#et#dy,1,1,pharmaceutical(1),cosmological(1),rota55_minpair_not_decipherment
op#o,1,1,cosmological(1),pharmaceutical(1),rota55_minpair_not_decipherment
ar#ey,1,1,cosmological(1),recipes(1),rota55_minpair_not_decipherment
p#dal,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
#ea,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
y#eoar,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
t#edal,1,1,recipes(1),cosmological(1),rota55_minpair_not_decipherment
#oeey,1,1,pharmaceutical(1),cosmological(1),rota55_minpair_not_decipherment
ar#eey,1,1,pharmaceutical(1),recipes(1),rota55_minpair_not_decipherment
o#eol,1,1,pharmaceutical(1),recipes(1),rota55_minpair_not_decipherment
#eotain,1,1,recipes(1),pharmaceutical(1),rota55_minpair_not_decipherment
#eoor,1,1,recipes(1),pharmaceutical(1),rota55_minpair_not_decipherment
kol#ey,1,1,recipes(1),pharmaceutical(1),rota55_minpair_not_decipherment
#ckhody,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
pol#or,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
qo#edy,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
t#eodl,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#oefy,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
ot#es,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
qo#eo,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
t#oar,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#sy,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
t#eodar,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#ykaiin,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#edaiiin,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#do,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
#aiiin,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
lke#dy,1,1,recipes(1),recipes(1),rota55_minpair_not_decipherment
