route26_id,source,folio,locus,section_note,locus_kind,locus_code,visual_context,token,prefix,suffix,line_position,token_index,line_token_count,previous_token,next_token,line_tokens,image_file_or_url,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence,visual_match_status,semantic_guardrail
R26-0204,ZL3b-n.txt,f67r2,"f67r2.35,@Pb","Blocked text and individual words in sectors, starting at 10:00",P,P,paragraph/text line,okol,ok,ol,end,5,5,iin,,chol g d iin okol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0205,ZL3b-n.txt,f67r2,"f67r2.57,&Ls",Labels near moon or planet faces,L,L,label,otar,ot,ar,start,1,2,,dy,otar dy,images/raw/commons_f67r1_r2.jpg,label,lower/right-page diagram label layer,,,small moon/planet disks and lower text band,label row belongs to right-page diagram; exact small label not isolated,low,matched_visual_annotation,exact_form_context_not_decipherment
R26-0206,ZL3b-n.txt,f67r2,"f67r2.73,+P0",The following single line is in red ink,P,P,paragraph/text line,okol,ok,ol,middle,9,11,oaiin,ar,sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0207,ZL3b-n.txt,f67v2,"f67v2.4,+Pb",Above large circle,P,P,paragraph/text line,okor,ok,or,end,6,6,ar,,daiin t k aedaiin ar okor,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0208,ZL3b-n.txt,f67v2,"f67v2.16,@Ri",Text alternates between outside in and inside out,R,R,radial text,okar,ok,ar,start,1,3,,alet,okar alet olkao,images/raw/commons_f67v2_v1.jpg,radial text,radial/cosmological left-page diagram,,radial spoke,small circular nodes and painted blue/green/red diagram areas,radial locus visible on f67v2 spread; exact word position not isolated,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0209,ZL3b-n.txt,f67v1,"f67v1.3,&L0","Scattered loci, really on circle:",L,L,label,okal,ok,al,start,1,2,,ary,okal ary,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0210,ZL3b-n.txt,f67v1,"f67v1.5,&L0","Scattered loci, really on circle:",L,L,label,okol,ok,ol,start,1,2,,aldy,okol aldy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0211,ZL3b-n.txt,f67v1,"f67v1.25,@Ro","Radiating from central Sun, going clockwise, starting at 09:30",R,R,radial text,okar,ok,ar,start,1,7,,shey,okar shey qokche o a r daiiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0212,ZL3b-n.txt,f68r1,"f68r1.1,@P0",Krauss plate 31(top),P,P,paragraph/text line,otor,ot,or,middle,7,9,opcheeol,choctheeey,shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0213,ZL3b-n.txt,f68r1,"f68r1.25,@Ls",Labeled stars. Numbers one less than Petersen's,L,L,label,otol,ot,ol,single,1,1,,,otol,images/raw/commons_f68r1_r2_r3.jpg,label,left foldout star/moon label layer,,,stars and small moon/sun faces,label layer visible on left/middle foldout panels; exact label not isolated,low,matched_visual_annotation,exact_form_context_not_decipherment
R26-0214,ZL3b-n.txt,f68r1,"f68r1.26,@Ls",Labeled stars. Numbers one less than Petersen's,L,L,label,otor,ot,or,single,1,1,,,otor,images/raw/commons_f68r1_r2_r3.jpg,label,left foldout star/moon label layer,,,stars and small moon/sun faces,label layer visible on left/middle foldout panels; exact label not isolated,low,matched_visual_annotation,exact_form_context_not_decipherment
R26-0215,ZL3b-n.txt,f68r2,"f68r2.3,+P0",Has 'b' in upper left corner.,P,P,paragraph/text line,okol,ok,ol,middle,4,7,okchol,sheeor,tcheos otchoky okchol okol sheeor chodchy qokchdar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0216,ZL3b-n.txt,f68r2,"f68r2.31,@Cc",Bottom ring of text,C,C,circular text,okol,ok,ol,middle,3,15,okoaiin,o,okey okoaiin okol o ky oeeeo r okey okeeol cheo o 231 232 233 234,images/raw/commons_f68r1_r2_r3.jpg,circular text,middle foldout circular/star text,,,star field and small face medallions,circular locus visible on foldout; exact word position not isolated,low,matched_visual_annotation,exact_form_context_not_decipherment
R26-0217,ZL3b-n.txt,f68r3,"f68r3.22,@Cc",Small ring of text around central moon face,C,C,circular text,okol,ok,ol,middle,3,10,chokchy,cheol,otcheody chokchy okol cheol dar cho keol dolaiin okeol oly,images/raw/commons_f68r1_r2_r3.jpg,circular text,annular/circular text,,,central face medallion and dense star groups,circular text visible around f68r3; exact word position not isolated,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0218,ZL3b-n.txt,f68v3,"f68v3.5,@Cc","Outer Circle, starting at the marker",C,C,circular text,otol,ot,ol,middle,2,58,oky,ees,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0219,ZL3b-n.txt,f68v3,"f68v3.5,@Cc","Outer Circle, starting at the marker",C,C,circular text,otol,ot,ol,middle,33,58,chody,ol,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0220,ZL3b-n.txt,f68v3,"f68v3.5,@Cc","Outer Circle, starting at the marker",C,C,circular text,okol,ok,ol,middle,49,58,ol,olsey,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0221,ZL3b-n.txt,f68v3,"f68v3.9,@Ri",of point at outer circle. 4 are long (up to central circe) and 4 are short,R,R,radial text,okol,ok,ol,middle,4,7,okolchey,m,shoekechy sheky okolchey okol m k om,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0222,ZL3b-n.txt,f68v3,"f68v3.10,@Ri",of point at outer circle. 4 are long (up to central circe) and 4 are short,R,R,radial text,okal,ok,al,middle,5,7,chckhy,ody,qokeody okeey chekchy chckhy okal ody chedy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0223,ZL3b-n.txt,f68v3,"f68v3.14,@Cc",Inner circle,C,C,circular text,okol,ok,ol,middle,3,16,okchy,choekey,okosy okchy okol choekey okeoeeey ol yko n in otairo s r orol orkeeey olkeeoly ykeeol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0224,ZL3b-n.txt,f68v1,"f68v1.1,@Cc",Plus radial short texts,C,C,circular text,otol,ot,ol,middle,32,45,chockhy,okeody,shes ol keey shes chteey sheely shes yee g j shokeolls ees aiir ol cho aiin ykeeykeey ches chotey y keey shes aiin okeyteey cthody ches o y kcho teody chockhy otol okeody cheos chkorchy dy dy shety oteey dair chotedy chey dal daiin dokeey,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0225,ZL3b-n.txt,f68v1,"f68v1.7,@Ro","Radiating texts, starting point cf. ThP",R,R,radial text,otol,ot,ol,start,1,3,,ches,otol ches otaly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0226,ZL3b-n.txt,f69r,"f69r.1,@P0",One normal paragraph:,P,P,paragraph/text line,otal,ot,al,middle,9,10,ot,sar,tcheeos shey opaiin chey shey qokeeyshdy ol ot otal sar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0227,ZL3b-n.txt,f69r,"f69r.2,+P0",One normal paragraph:,P,P,paragraph/text line,otol,ot,ol,middle,9,10,cthy,cham,daiin shey okaiin shkechy sheey tey chy cthy otol cham,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0228,ZL3b-n.txt,f69r,"f69r.3,+P0",One normal paragraph:,P,P,paragraph/text line,okal,ok,al,middle,7,11,choetey,chy,sheos aiin c 178 ar choetey okal chy ykar ytchey cheotam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0229,ZL3b-n.txt,f69r,"f69r.28,@Ro",whether the intended direction is clockwise or counterclokwise.,R,R,radial text,otar,ot,ar,end,2,2,ykechody,,ykechody otar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0230,ZL3b-n.txt,f69r,"f69r.30,@Ro",Here is a segment that looks like one of these start indicators.,R,R,radial text,okar,ok,ar,middle,2,3,okeeocthy,ar,okeeocthy okar ar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0231,ZL3b-n.txt,f69r,"f69r.33,@Ro",Here is a segment that looks like one of these start indicators.,R,R,radial text,okar,ok,ar,middle,3,6,dal,a,okeeo dal okar a r s,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0232,ZL3b-n.txt,f69v,"f69v.1,@Cc",28 words along radiating segments,C,C,circular text,okar,ok,ar,middle,30,42,choaiin,okar,dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir c 204 teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0233,ZL3b-n.txt,f69v,"f69v.1,@Cc",28 words along radiating segments,C,C,circular text,okar,ok,ar,middle,31,42,okar,chol,dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir c 204 teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0234,ZL3b-n.txt,f70r1,"f70r1.2,@Cc",Has 'a' in upper left corner.,C,C,circular text,okol,ok,ol,middle,5,39,dy,okeey,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0235,ZL3b-n.txt,f70r1,"f70r1.2,@Cc",Has 'a' in upper left corner.,C,C,circular text,otol,ot,ol,middle,29,39,opcheody,choky,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0236,ZL3b-n.txt,f70r1,"f70r1.3,+Cc",Has 'a' in upper left corner.,C,C,circular text,okal,ok,al,middle,27,35,chodalar,chear,okeodar chy oteody tochady okchody ytar ytory okeol choly yk y okchedy chkal ofchon qokal opolaiin okeos oty dal cheokeey dal cheo al oteeoky chety chodalar okal chear aly oteos ar os al okolair dy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0237,ZL3b-n.txt,f70r1,"f70r1.13,@Cc",Has 'a' in upper left corner.,C,C,circular text,otar,ot,ar,middle,9,16,alal,ar,tshey ol oteey ched ar oteos cheor alal otar ar y oteodchey keody oteos al oteeed,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0238,ZL3b-n.txt,f70r2,"f70r2.4,+P1",Has 'b' in upper left corner.,P,P,paragraph/text line,otal,ot,al,middle,6,9,ey,shshy,daiin okeey shoaiin ckhh ey otal shshy tal dam,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0239,ZL3b-n.txt,f70r2,"f70r2.10,+P1",Has 'b' in upper left corner.,P,P,paragraph/text line,okal,ok,al,end,6,6,cheey,,shokal chol kshody tol cheey okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0240,ZL3b-n.txt,f70r2,"f70r2.15,@Cc",Has 'b' in upper left corner.,C,C,circular text,okar,ok,ar,middle,41,43,g,ar,sal air am shedy chokal cho ikh y shokeey choky chol dy okeeal o teedy dgr dair aiin okees okeear ar alekeey ar kam oteoodalry chekeoar chokey dar dcheoky otai do ith y dair otchetchar okear okeeo lal kch g okar ar dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0241,ZL3b-n.txt,f70r2,"f70r2.16,+Cc",Has 'b' in upper left corner.,C,C,circular text,otar,ot,ar,start,1,38,,ar,otar ar chedal oaral aldaiin ykeeedaiis sheo l dar chol ykees aiir dl cheey s r keeod oteeodar aiin aral daiir sheedal sheodaiin choar chol chot e i oly cho oteey chotey choeky chedy choteosam oteodar o ckhh,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0242,ZL3b-n.txt,f70r2,"f70r2.17,+Cc",Has 'b' in upper left corner.,C,C,circular text,okol,ok,ol,middle,30,34,oteeo,chotal,oches air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin sh e y shee farar aim cheoteeodal sho choetchaldy dal aiir ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol al dl,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0243,ZL3b-n.txt,f70r2,"f70r2.17,+Cc",Has 'b' in upper left corner.,C,C,circular text,otol,ot,ol,middle,32,34,chotal,al,oches air chese ctheey sheeody shopcho yteody ykaldy oteeos aiin sh e y shee farar aim cheoteeodal sho choetchaldy dal aiir ches otesar dalol chtam opaiir chokeo oteedy oteeo okol chotal otol al dl,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0244,ZL3b-n.txt,f70v2,"f70v2.4,&Lz","Nymph labels, outer ring:",L,L,label,otar,ot,ar,single,1,1,,,otar,images/raw/commons_f70v2.jpg,label,zodiac label layer,figure ring,,zodiac nymph figure with star,single-token label in zodiac figure ring,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0245,ZL3b-n.txt,f70v2,"f70v2.16,&Lz","Nymph labels, outer ring:",L,L,label,otal,ot,al,start,1,2,,arar,otal arar,images/raw/commons_f70v2.jpg,label,zodiac label layer,figure ring,,zodiac nymph figure with star,short label layer visible around zodiac figure ring,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0246,ZL3b-n.txt,f70v2,"f70v2.21,@Cc","Nymph labels, outer ring:",C,C,circular text,otar,ot,ar,middle,4,34,amdy,am,daii 197 amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos,images/raw/commons_f70v2.jpg,circular text,zodiac ring / circular band,outer/figure ring,,zodiac nymph figures and stars,"high-quality folio checked; circular zodiac text layer visible, exact word not isolated at glyph level",medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0247,ZL3b-n.txt,f70v2,"f70v2.22,@Lz",Inner ring:,L,L,label,otar,ot,ar,start,1,2,,am,otar am,images/raw/commons_f70v2.jpg,label,zodiac label layer,figure ring,,zodiac nymph figure with star,short label layer visible around zodiac figure ring,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0248,ZL3b-n.txt,f70v2,"f70v2.23,&Lz",Inner ring:,L,L,label,otar,ot,ar,start,1,2,,al,otar al,images/raw/commons_f70v2.jpg,label,zodiac label layer,figure ring,,zodiac nymph figure with star,short label layer visible around zodiac figure ring,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0249,ZL3b-n.txt,f70v2,"f70v2.32,@Cc",Inner ring:,C,C,circular text,otal,ot,al,start,1,22,,daly,otal daly oteoal dal aildy otaiin ar oteey shal o qoteeal ar al otaiin al teodaiin oteeo cthey oteeos oteos aiin daim,images/raw/commons_f70v2.jpg,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,exact token in circular zodiac text; exact word not isolated at glyph level,medium,matched_visual_annotation,exact_form_context_not_decipherment
R26-0250,ZL3b-n.txt,f70v1,"f70v1.1,@Cc","alphabet. Abril is Spanish for April, Aries is March 20th to April 20th.",C,C,circular text,otor,ot,or,middle,6,42,raiin,ochy,dalalody oteoshey okoksheo shokey raiin otor ochy s a ir is cheody cheey oteo ch ee y daiir chcthy dlal oteodaiin ykeody oteody sheo daiin oteedy chetalchs zar shoteeody okeeo dal cheody okchoteees oteeody cheokeo otaiin shes to ar oly daly sheal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0251,ZL3b-n.txt,f70v1,"f70v1.11,&Lz","Nymph labels, outer ring:",L,L,label,otal,ot,al,start,1,2,,ypsharal,otal ypsharal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0252,ZL3b-n.txt,f70v1,"f70v1.16,&Lz",Inner ring:,L,L,label,otal,ot,al,middle,2,3,oteoeey,okealar,oteoeey otal okealar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0253,ZL3b-n.txt,f71r,"f71r.1,@Cc",start markers.,C,C,circular text,otol,ot,ol,middle,10,42,oto,oteeyar,olkeeody okody okeeedy oky chy okeodar okeoky oteody oto otol oteeyar yko oar aiin oekeeey okeo keo keody okeodar chy s aiin otokeoar or ar al otol al shckhy oteeeodar oteody otol aiin shoekey solalald cheeokeeo ch oe k t y choly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0254,ZL3b-n.txt,f71r,"f71r.1,@Cc",start markers.,C,C,circular text,otol,ot,ol,middle,27,42,al,al,olkeeody okody okeeedy oky chy okeodar okeoky oteody oto otol oteeyar yko oar aiin oekeeey okeo keo keody okeodar chy s aiin otokeoar or ar al otol al shckhy oteeeodar oteody otol aiin shoekey solalald cheeokeeo ch oe k t y choly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0255,ZL3b-n.txt,f71r,"f71r.1,@Cc",start markers.,C,C,circular text,otol,ot,ol,middle,32,42,oteody,aiin,olkeeody okody okeeedy oky chy okeodar okeoky oteody oto otol oteeyar yko oar aiin oekeeey okeo keo keody okeodar chy s aiin otokeoar or ar al otol al shckhy oteeeodar oteody otol aiin shoekey solalald cheeokeeo ch oe k t y choly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0256,ZL3b-n.txt,f71r,"f71r.18,@Cc","Nymph labels, inner ring",C,C,circular text,otal,ot,al,middle,2,10,oteeol,chs,oteeol otal chs char cheky chotshy okeeody oteey chekea okeol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0257,ZL3b-n.txt,f71v,"f71v.1,@Cc",Added text from v101: ?chey.otche,C,C,circular text,otar,ot,ar,middle,21,38,cheol,okam,osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy cp ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0258,ZL3b-n.txt,f71v,"f71v.9,&Lz","Nymph labels, outer ring:",L,L,label,otar,ot,ar,start,1,3,,ar,otar ar aly,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0259,ZL3b-n.txt,f71v,"f71v.12,@Cc","Nymph labels, outer ring:",C,C,circular text,otor,ot,or,middle,18,30,shepchol,sheo,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0260,ZL3b-n.txt,f71v,"f71v.12,@Cc","Nymph labels, outer ring:",C,C,circular text,otal,ot,al,middle,25,30,cheey,al,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0261,ZL3b-n.txt,f71v,"f71v.12,@Cc","Nymph labels, outer ring:",C,C,circular text,okol,ok,ol,middle,29,30,otaly,sheeor,chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0262,ZL3b-n.txt,f71v,"f71v.16,&Lz","Nymph labels, inner ring:",L,L,label,otar,ot,ar,start,1,5,,sh,otar sh a o r,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0263,ZL3b-n.txt,f71v,"f71v.18,@Cc","Nymph labels, inner ring:",C,C,circular text,okal,ok,al,middle,5,11,chkeeal,cheekaiin,okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0264,ZL3b-n.txt,f72r1,"f72r1.12,@Cc","Nymph labels, outer ring",C,C,circular text,otar,ot,ar,middle,14,27,teeody,chokaiin,oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0265,ZL3b-n.txt,f72r1,"f72r1.12,@Cc","Nymph labels, outer ring",C,C,circular text,otar,ot,ar,middle,24,27,chokal,al,oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0266,ZL3b-n.txt,f72r2,"f72r2.6,@Cc",Top row of nymphs,C,C,circular text,otar,ot,ar,middle,22,45,daiin,al,oteos aiin okeo daiin okeey cheo keodal chol okeol ol ckhh y oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckh al chekaiin otaiin chy d r aiin al y chh o chekaiin okedal qokeodal saiin otois otees,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0267,ZL3b-n.txt,f72r2,"f72r2.9,&Lz","Nymph labels, second ring:",L,L,label,okal,ok,al,single,1,1,,,okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0268,ZL3b-n.txt,f72r2,"f72r2.11,&Lz","Nymph labels, second ring:",L,L,label,okal,ok,al,single,1,1,,,okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0269,ZL3b-n.txt,f72r2,"f72r2.17,&Lz","Nymph labels, second ring:",L,L,label,otar,ot,ar,start,1,2,,cr,otar cr,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0270,ZL3b-n.txt,f72r2,"f72r2.22,@Cc",label numbers are now one less than Petersen's nymph numbers,C,C,circular text,okal,ok,al,middle,20,27,eteeey,shey,oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy ch eteeey okal shey qoteeody sheycthy chotal chas otoees aiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0271,ZL3b-n.txt,f72r2,"f72r2.23,@Lz","Nymph labels, inner ring:",L,L,label,otal,ot,al,single,1,1,,,otal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0272,ZL3b-n.txt,f72r3,"f72r3.1,@Cc",Part of the start of C1 could be missing,C,C,circular text,okor,ok,or,middle,21,48,alaiin,o,okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly oh eol sheey chorain,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0273,ZL3b-n.txt,f72r3,"f72r3.1,@Cc",Part of the start of C1 could be missing,C,C,circular text,okar,ok,ar,middle,32,48,chekar,choly,okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly oh eol sheey chorain,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0274,ZL3b-n.txt,f72v2,"f72v2.20,@Cc",Outer band of labels,C,C,circular text,okal,ok,al,middle,18,28,chotalal,cheol,oteesody otey oteeos sheoty yteeg dchsaiin shol okeees air am shey qokeodal oteotey oteoldy oteal chedy chotalal okal cheol sar aiin cheokealy sardy otol chekar alteol oltar ar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0275,ZL3b-n.txt,f72v2,"f72v2.20,@Cc",Outer band of labels,C,C,circular text,otol,ot,ol,middle,24,28,sardy,chekar,oteesody otey oteeos sheoty yteeg dchsaiin shol okeees air am shey qokeodal oteotey oteoldy oteal chedy chotalal okal cheol sar aiin cheokealy sardy otol chekar alteol oltar ar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0276,ZL3b-n.txt,f72v1,"f72v1.1,@Cc",Has gathering mark 11.,C,C,circular text,otar,ot,ar,middle,3,42,alar,air,oteos alar otar air chpaly oteody okchesal otear alshey oleealy sh tey oteos alal dals alchol ytolaiin ydaiin chotar y tal oto shoty otey okchedaly chdar y s ar otedy otorar shedy opsheytey opairaly choshydy otar cheedy otaraiin cheeky okolar ychey otechety,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0277,ZL3b-n.txt,f72v1,"f72v1.1,@Cc",Has gathering mark 11.,C,C,circular text,otar,ot,ar,middle,36,42,choshydy,cheedy,oteos alar otar air chpaly oteody okchesal otear alshey oleealy sh tey oteos alal dals alchol ytolaiin ydaiin chotar y tal oto shoty otey okchedaly chdar y s ar otedy otorar shedy opsheytey opairaly choshydy otar cheedy otaraiin cheeky okolar ychey otechety,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0278,ZL3b-n.txt,f72v1,"f72v1.16,&Lz",Outer band of labels,L,L,label,okal,ok,al,single,1,1,,,okal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0279,ZL3b-n.txt,f72v1,"f72v1.22,@Cc",Outer band of labels,C,C,circular text,otar,ot,ar,start,1,29,,ar,otar ar otol topar oteolaiin ofa r s al otshedy ofalar alshdy chpar aiin okaly oka yaly opcheolfy opar cheo ck ey otolopaiin shaldy chepchy otey tea n r,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0280,ZL3b-n.txt,f72v1,"f72v1.22,@Cc",Outer band of labels,C,C,circular text,otol,ot,ol,middle,3,29,ar,topar,otar ar otol topar oteolaiin ofa r s al otshedy ofalar alshdy chpar aiin okaly oka yaly opcheolfy opar cheo ck ey otolopaiin shaldy chepchy otey tea n r,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0281,ZL3b-n.txt,f73r,"f73r.22,@Cc",Outer full circle of labels,C,C,circular text,otar,ot,ar,middle,15,25,okees,chey,oteey dar al opaiin olalaiin s air am chopchedy chdar oram otareees olteey okees otar chey oteas ochor oparchey daiin qocheey s cheey dal cheesy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0282,ZL3b-n.txt,f73r,"f73r.28,&Lz",Inner full circle of labels,L,L,label,otal,ot,al,single,1,1,,,otal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
