route27_id,folio,locus_kind,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,priority_level,priority_reason,review_action,semantic_guardrail
R27-024,f88v,P,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=2,"f88v.17,+P0|f88v.18,+P0",L This is another recipes page. Three rows of recipes with two paras between them,manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-025,f89r2,P,2,2,okar=1|otol=1,ok=1|ot=1,ar=1|ol=1,middle=2,"f89r2.12,@P0|f89r2.28,+P0","It has 4 rows of small, complete plants and 3 paras|the following para may or may not be split.",manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-026,f99r,L,2,2,okar=1|okor=1,ok=2,ar=1|or=1,single=1|start=1,"f99r.2,@Lf|f99r.8,@Lf",Top row of labels. Petersen ID in curly brackets.,manifest_available,f99r,https://upload.wikimedia.org/wikipedia/commons/4/45/Voynich_Manuscript_%28175%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(175).jpg,P1,some_gaps_and_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-027,f67v1,R,1,1,okar=1,ok=1,ar=1,start=1,"f67v1.25,@Ro","Radiating from central Sun, going clockwise, starting at 09:30",manifest_available,f67v2_v1,https://upload.wikimedia.org/wikipedia/commons/a/ab/Voynich_Manuscript_%28122%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(122).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-028,f67v2,P,1,1,okor=1,ok=1,or=1,end=1,"f67v2.4,+Pb",Above large circle,manifest_available,f67v2_v1,https://upload.wikimedia.org/wikipedia/commons/a/ab/Voynich_Manuscript_%28122%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(122).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-029,f68r1,P,1,1,otor=1,ot=1,or=1,middle=1,"f68r1.1,@P0",Krauss plate 31(top),manifest_available,f68r1_r2_r3,https://upload.wikimedia.org/wikipedia/commons/c/c7/Voynich_Manuscript_%28123%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(123).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-030,f68r2,P,1,1,okol=1,ok=1,ol=1,middle=1,"f68r2.3,+P0",Has 'b' in upper left corner.,manifest_available,f68r1_r2_r3,https://upload.wikimedia.org/wikipedia/commons/c/c7/Voynich_Manuscript_%28123%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(123).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-031,f89r1,P,1,1,okor=1,ok=1,or=1,middle=1,"f89r1.6,@P0",Currier's  language A,manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-032,f89r2,L,1,1,okol=1,ok=1,ol=1,start=1,"f89r2.10,@Lf","It has 4 rows of small, complete plants and 3 paras",manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-033,f99r,P,1,1,okor=1,ok=1,or=1,middle=1,"f99r.51,+P0",Fourth set of labels. Petersen ID in curly brackets.,manifest_available,f99r,https://upload.wikimedia.org/wikipedia/commons/4/45/Voynich_Manuscript_%28175%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(175).jpg,P2,single_gap_with_manifest_image_available,open_manifest_image_and_add_visual_annotations_for_exact_forms,visual_gap_priority_not_evidence
R27-034,f113r,P,9,7,otal=4|otar=3|okar=1|okol=1,ot=7|ok=2,al=4|ar=4|ol=1,middle=7|end=2,"f113r.5,+P0|f113r.6,+P0|f113r.8,+P0|f113r.30,+P0|f113r.32,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, dotted, 8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-035,f114v,P,9,8,otal=3|okal=2|otol=2|okol=1|otar=1,ot=6|ok=3,al=5|ol=3|ar=1,middle=9,"f114v.2,+P0|f114v.3,+P0|f114v.11,+P0|f114v.15,+P0|f114v.30,+P0","Light star, 7 points, tail|Light star, dotted, 7 points, tail|Light star, 7/8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-036,f55r,P,9,8,okar=3|okal=2|okol=1|otal=1|otar=1|otol=1,ok=6|ot=3,ar=4|al=3|ol=2,middle=9,"f55r.1,@P0|f55r.2,+P0|f55r.3,+P0|f55r.5,+P0|f55r.6,+P0","Currier's language B,  hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
