priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
33,f23r,"f23r.5,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,f39r,"f39r.15,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,f66r,"f66r.75,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,end middle,paragraph/text line,0,,,
33,f68v1,"f68v1.2,@Cc",C,ch,2,ar ol,ao+rl,2,1,0,0,1,chear chol,broad:1; exact:1,middle start,circular text,0,,,
33,f68v2,"f68v2.6,@Cc",C,d,2,al or,ao+rl,2,0,1,1,0,dal dor,broad:1; exact:1,middle,circular text,0,,,
33,f69r,"f69r.26,@Ro",R,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,radial text,0,,,
33,f69v,"f69v.1,@Cc",C,ch,2,ar ol,ao+rl,3,2,0,0,1,char chol chykar,broad:2; exact:1,end middle,circular text,0,,,
33,f70r1,"f70r1.2,@Cc",C,ch,2,ar ol,ao+rl,2,1,0,0,1,chol chotar,broad:1; exact:1,middle,circular text,0,,,
33,f70r2,"f70r2.17,+Cc",C,ot,2,ar ol,ao+rl,2,1,0,0,1,otesar otol,broad:1; exact:1,middle,circular text,0,,,
33,f70r2,"f70r2.18,+Cc",C,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,circular text,0,,,
33,f71v,"f71v.12,@Cc",C,ok,2,ar ol,ao+rl,2,1,0,0,1,okalar okol,broad:1; exact:1,middle,circular text,0,,,
33,f72r3,"f72r3.14,@Cc",C,sh,2,ar ol,ao+rl,2,1,0,0,1,shear shol,broad:1; exact:1,middle,circular text,0,,,
33,f73r,"f73r.22,@Cc",C,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,middle,circular text,0,,,
33,f80v,"f80v.40,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,f89r2,"f89r2.28,+P0",P,standalone,2,ar ol,ao+rl,3,1,0,0,2,ar ol,standalone:3,middle,paragraph/text line,0,,,
33,fRos,"fRos.133,@Cc",C,ot,2,al ar,rl,2,1,1,0,0,otal otar,exact:2,middle,circular text,0,,,
33,fRos,"fRos.87,@Cc",C,ok,2,al ar,rl,2,1,1,0,0,okal okar,exact:2,middle,circular text,0,,,
32,f100r,"f100r.23,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chol chor,exact:3,middle,paragraph/text line,0,,,
